id;created;nip;regon;street;city;post_code
1;2022-01-14T02:44:13;evolve benchmark;Loan payment;Szatkowski Pike;South Laurentybury;06-221
2;2022-01-13T10:39:30;monitor orchid Security;Metal Berkshire optical;Stachowiak Flat;Ćmielów;09-123
3;2022-01-14T06:50:03;Steel JBOD Holandia;Rubber Central standardization;Tomczak River;Ozorków;16-430
4;2022-01-13T18:21:48;Afryki;CSS;Burzyński Prairie;Jakubinamouth;45-333
5;2022-01-13T19:15:43;compressing virtual;Grass-roots;Radecki Trafficway;Namysłów;63-441
6;2022-01-13T20:10:54;Car;Bacon architectures;Ansgary Tunnel;Lisieckiport;22-114
7;2022-01-14T10:05:10;Lubuskie interactive local;Sausages Azerbaijanian;Julian Inlet;Marcinkowskistad;74-643
8;2022-01-13T12:57:05;payment Glen;Borders Customizable;Rachela Island;Lake Patryk;78-167
9;2022-01-13T17:35:30;bypassing Central mobile;Isle interface;Estera Dale;Lubawka;42-051
10;2022-01-14T08:27:39;Borders;navigate;Buczyński Alley;Stecton;40-894
