id;created;payed_date;period_begin_date;period_end_date;number;json_data;company_id
1;2022-01-13T18:30:36;2022-01-13T20:24:40;2022-01-13T13:42:22;2022-01-14T07:01:39;systemic;Loop;1
2;2022-01-13T12:44:47;2022-01-13T11:31:37;2022-01-13T20:44:45;2022-01-14T04:44:14;calculating;invoice;2
3;2022-01-14T08:55:37;2022-01-13T14:59:44;2022-01-13T16:08:44;2022-01-13T11:30:45;program SQL;Frozen Berkshire reciprocal;3
4;2022-01-13T20:12:36;2022-01-13T12:24:12;2022-01-13T22:33:28;2022-01-13T20:31:00;Home;Baby;4
5;2022-01-14T05:14:13;2022-01-13T16:58:46;2022-01-13T16:26:54;2022-01-14T04:21:17;1080p Horizontal experiences;Rand;5
6;2022-01-14T06:52:39;2022-01-13T19:04:56;2022-01-14T02:40:34;2022-01-13T12:03:12;transmitting EXE Director;Krona;6
7;2022-01-13T21:49:02;2022-01-13T11:58:10;2022-01-14T04:45:01;2022-01-14T02:33:00;Dynamic Fresh;sticky Awesome Integration;7
8;2022-01-13T12:57:58;2022-01-14T07:27:41;2022-01-13T23:31:14;2022-01-14T01:56:40;Garden Analyst Agent;auxiliary;8
9;2022-01-13T13:09:04;2022-01-13T23:13:28;2022-01-14T02:45:10;2022-01-14T08:54:24;Agent;interactive deposit Electronics;9
10;2022-01-13T14:44:50;2022-01-13T14:35:39;2022-01-14T08:27:53;2022-01-14T08:31:43;Customer;Cotton back;10
