id;created;type;message;data
1;2022-01-13T18:19:46;DEBUG;Clothing Chair;Central
2;2022-01-14T00:40:58;INFO;Practical Pomorskie Practical;Corporate AI
3;2022-01-13T20:59:52;DEBUG;Estonia payment;users
4;2022-01-13T17:59:13;DEBUG;generation Granite static;bypass GB
5;2022-01-13T18:03:03;WARNING;projection deliverables;world-class Account
6;2022-01-14T07:12:57;INFO;optical Facilitator;auxiliary
7;2022-01-13T22:48:02;DEBUG;cohesive;navigating synthesize Krona
8;2022-01-14T01:24:37;ERROR;driver Monitored;Kids
9;2022-01-14T08:31:24;INFO;Frozen;Usability Shore Cove
10;2022-01-14T10:06:02;DEBUG;Synergized 24/7;Prairie
