id;created;payed_by;payed_to_date;number;name;description;subscription_renewal_enabled;subscription_renewal_trial_count;subscription_period;active;error_message;company_id
1;2022-01-13T22:37:12;TAXI;2022-01-13T17:07:21;20109;1080p optical;protocol bandwidth;true;82089;WEEK;false;middleware Principal Laos;1
2;2022-01-13T11:24:26;TAXI;2022-01-14T01:26:54;14261;Sudan Warmińsko-mazurskie orange;e-business Jemen International;false;12625;YEAR;true;EXE deploy Krone;2
3;2022-01-13T22:06:28;TAXI;2022-01-14T01:44:07;73050;payment Soft Ergonomic;National Accounts;true;1554;WEEK;true;infrastructure;3
4;2022-01-13T21:24:19;TAXI;2022-01-14T00:06:04;78709;digital;PNG;false;39982;MONTH;true;Incredible;4
5;2022-01-14T00:45:52;TAXI;2022-01-14T03:10:17;93294;National navigating XSS;ROI Investor;false;1136;WEEK;false;salmon matrices tangible;5
6;2022-01-13T20:34:17;TAXI;2022-01-13T21:26:18;58311;transitional;parsing Wooden;true;39863;MONTH;false;recontextualize Beauty;6
7;2022-01-14T01:10:18;DRIVER;2022-01-14T06:08:45;40408;optical as;protocol online;false;38859;YEAR;false;Money Trace;7
8;2022-01-14T03:09:23;TAXI;2022-01-14T01:55:49;31578;bus Refined District;withdrawal;false;38570;YEAR;false;Plastic boliviano Buckinghamshire;8
9;2022-01-14T00:00:43;DRIVER;2022-01-13T11:02:33;82678;structure cross-platform;deposit Intelligent;true;82709;YEAR;true;distributed e-business;9
10;2022-01-13T12:17:51;TAXI;2022-01-13T21:45:05;27436;Account;Associate Ergonomic;true;43788;WEEK;false;repurpose Katar application;10
